,nsites,structure,uncorrected_energy_per_atom
0,2,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42283832
_cell_length_b   2.42283843
_cell_length_c   3.70970325
_cell_angle_alpha   89.97396837
_cell_angle_beta   90.02561348
_cell_angle_gamma   90.87490312
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe2
_cell_volume   21.77395585
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.50000000  0.50000000  0.50000000  1
  Fe  Fe1  1  0.00000000  0.00000000  0.00000000  1
",-8.37088661
1,2,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.47781303
_cell_length_b   2.47780913
_cell_length_c   4.05429521
_cell_angle_alpha   90.00003845
_cell_angle_beta   90.00031951
_cell_angle_gamma   109.46983668
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe2
_cell_volume   23.46816847
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.50000002  0.50000008  0.49999999  1
  Fe  Fe1  1  0.99999998  0.99999992  0.00000001  1
",-8.47002121
2,6,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.37646167
_cell_length_b   3.37646223
_cell_length_c   7.55037944
_cell_angle_alpha   102.92031221
_cell_angle_beta   102.92030772
_cell_angle_gamma   89.99999412
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe6
_cell_volume   81.66127665
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.41667517  0.91667517  0.83335135  1
  Fe  Fe1  1  0.58332483  0.08332483  0.16664865  1
  Fe  Fe2  1  0.08332483  0.58332483  0.16664865  1
  Fe  Fe3  1  0.75000000  0.25000000  0.50000000  1
  Fe  Fe4  1  0.91667517  0.41667517  0.83335135  1
  Fe  Fe5  1  0.25000000  0.75000000  0.50000000  1
",-7.70860905
3,4,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.45268720
_cell_length_b   2.45268724
_cell_length_c   7.86042065
_cell_angle_alpha   90.00418265
_cell_angle_beta   89.99591017
_cell_angle_gamma   104.68529188
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe4
_cell_volume   45.74104301
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.99996300  0.00003800  0.49980900  1
  Fe  Fe1  1  0.50003700  0.49996200  0.75018600  1
  Fe  Fe2  1  0.99996500  0.00003600  0.99987300  1
  Fe  Fe3  1  0.50003400  0.49996500  0.25013200  1
",-8.452951355
4,1,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.39034144
_cell_length_b   2.48900390
_cell_length_c   2.48900390
_cell_angle_alpha   120.00000314
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe1
_cell_volume   12.82453751
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  -0.00000000  -0.00000000  0.00000000  1
",-7.99332179
5,2,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.43415771
_cell_length_b   2.43415746
_cell_length_c   3.84193447
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00001684
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe2
_cell_volume   19.71414254
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.33333300  0.66666700  0.25000000  1
  Fe  Fe1  1  0.66666700  0.33333300  0.75000000  1
",-8.37221529
6,4,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.41537349
_cell_length_b   4.27309292
_cell_length_c   4.71736556
_cell_angle_alpha   90.00242345
_cell_angle_beta   90.15621074
_cell_angle_gamma   89.90268506
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe4
_cell_volume   48.68822301
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.37672823  -0.00000074  0.48973615  1
  Fe  Fe1  1  0.37326838  0.50000017  0.76028253  1
  Fe  Fe2  1  0.87674667  -0.00000107  0.98974851  1
  Fe  Fe3  1  0.87325572  0.50000164  0.26023281  1
",-8.415029175
7,28,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.61790100
_cell_length_b   8.61790100
_cell_length_c   4.57447200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe28
_cell_volume   339.73788211
_cell_formula_units_Z   28
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.90490800  0.09509200  0.50000000  1
  Fe  Fe1  1  0.09509200  0.90490800  0.50000000  1
  Fe  Fe2  1  0.40490800  0.40490800  0.00000000  1
  Fe  Fe3  1  0.59509200  0.59509200  0.00000000  1
  Fe  Fe4  1  0.98090700  0.36675700  0.50000000  1
  Fe  Fe5  1  0.01909300  0.63324300  0.50000000  1
  Fe  Fe6  1  0.48090700  0.13324300  0.00000000  1
  Fe  Fe7  1  0.51909300  0.86675700  0.00000000  1
  Fe  Fe8  1  0.36675700  0.98090700  0.50000000  1
  Fe  Fe9  1  0.63324300  0.01909300  0.50000000  1
  Fe  Fe10  1  0.13324300  0.48090700  0.00000000  1
  Fe  Fe11  1  0.86675700  0.51909300  0.00000000  1
  Fe  Fe12  1  0.27073600  0.46857800  0.50000000  1
  Fe  Fe13  1  0.72926400  0.53142200  0.50000000  1
  Fe  Fe14  1  0.77073600  0.03142200  0.00000000  1
  Fe  Fe15  1  0.22926400  0.96857800  0.00000000  1
  Fe  Fe16  1  0.46857800  0.27073600  0.50000000  1
  Fe  Fe17  1  0.53142200  0.72926400  0.50000000  1
  Fe  Fe18  1  0.03142200  0.77073600  0.00000000  1
  Fe  Fe19  1  0.96857800  0.22926400  0.00000000  1
  Fe  Fe20  1  0.71538800  0.28461200  0.24561600  1
  Fe  Fe21  1  0.28461200  0.71538800  0.24561600  1
  Fe  Fe22  1  0.21538800  0.21538800  0.74561600  1
  Fe  Fe23  1  0.78461200  0.78461200  0.74561600  1
  Fe  Fe24  1  0.28461200  0.71538800  0.75438400  1
  Fe  Fe25  1  0.71538800  0.28461200  0.75438400  1
  Fe  Fe26  1  0.78461200  0.78461200  0.25438400  1
  Fe  Fe27  1  0.21538800  0.21538800  0.25438400  1
",-8.29473249
8,100,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.40633058
_cell_length_b   10.70864261
_cell_length_c   10.45599052
_cell_angle_alpha   87.98403791
_cell_angle_beta   91.19110178
_cell_angle_gamma   89.51251713
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe100
_cell_volume   1164.16870657
_cell_formula_units_Z   100
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  0.56778100  0.46128600  0.60395000  1
  Fe  Fe1  1  0.82153600  0.24746700  0.37245200  1
  Fe  Fe2  1  0.85259800  0.82222700  0.73812000  1
  Fe  Fe3  1  0.16926800  0.65513600  0.96052100  1
  Fe  Fe4  1  0.78493000  0.19260400  0.58304200  1
  Fe  Fe5  1  0.70178000  0.76745200  0.12192100  1
  Fe  Fe6  1  0.38933600  0.44786300  0.73752800  1
  Fe  Fe7  1  0.00584300  0.48084000  0.77683800  1
  Fe  Fe8  1  0.97047400  0.35032200  0.54487800  1
  Fe  Fe9  1  0.03503700  0.28587100  0.96187200  1
  Fe  Fe10  1  0.21326300  0.42229900  0.89679200  1
  Fe  Fe11  1  0.14644100  0.10020300  0.08512000  1
  Fe  Fe12  1  0.90545900  0.24866100  0.76706400  1
  Fe  Fe13  1  0.03331000  0.07199700  0.87341000  1
  Fe  Fe14  1  0.12789200  0.61885000  0.23925800  1
  Fe  Fe15  1  0.41099300  0.54259900  0.94684000  1
  Fe  Fe16  1  0.41649300  0.17178100  0.48371300  1
  Fe  Fe17  1  0.08844800  0.83229400  0.82797700  1
  Fe  Fe18  1  0.80561500  0.17394600  0.95957600  1
  Fe  Fe19  1  0.56758000  0.99030000  0.21791700  1
  Fe  Fe20  1  0.59635300  0.66005500  0.50577700  1
  Fe  Fe21  1  0.38912700  0.97665300  0.61712100  1
  Fe  Fe22  1  0.27685800  0.50019000  0.12058300  1
  Fe  Fe23  1  0.50098200  0.21005100  0.27742100  1
  Fe  Fe24  1  0.18619100  0.00516100  0.47548300  1
  Fe  Fe25  1  0.64508600  0.03383400  0.87341800  1
  Fe  Fe26  1  0.38754900  0.78546600  0.48382000  1
  Fe  Fe27  1  0.60350700  0.28686000  0.47777400  1
  Fe  Fe28  1  0.82295900  0.04289100  0.76104900  1
  Fe  Fe29  1  0.90751200  0.90224000  0.20019800  1
  Fe  Fe30  1  0.93478000  0.11436700  0.14877800  1
  Fe  Fe31  1  0.33293000  0.35760800  0.29661100  1
  Fe  Fe32  1  0.04286800  0.20933500  0.35202300  1
  Fe  Fe33  1  0.44655300  0.31406100  0.90841700  1
  Fe  Fe34  1  0.24749000  0.81511000  0.31096200  1
  Fe  Fe35  1  0.73744300  0.86760500  0.33352100  1
  Fe  Fe36  1  0.37238000  0.38702400  0.50627000  1
  Fe  Fe37  1  0.87458500  0.32312100  0.12556900  1
  Fe  Fe38  1  0.68777900  0.38985300  0.24925700  1
  Fe  Fe39  1  0.96594300  0.57416100  0.46906100  1
  Fe  Fe40  1  0.02564100  0.81273500  0.39788800  1
  Fe  Fe41  1  0.24549400  0.95015700  0.95767400  1
  Fe  Fe42  1  0.42054600  0.98825800  0.38512200  1
  Fe  Fe43  1  0.57248300  0.87262900  0.72820600  1
  Fe  Fe44  1  0.00620300  0.12457700  0.59551200  1
  Fe  Fe45  1  0.53921600  0.59643000  0.14752800  1
  Fe  Fe46  1  0.91126200  0.66794700  0.92172300  1
  Fe  Fe47  1  0.91387300  0.90435800  0.96648800  1
  Fe  Fe48  1  0.35003600  0.60314400  0.32263300  1
  Fe  Fe49  1  0.60179200  0.45594600  0.82037100  1
  Fe  Fe50  1  0.32244600  0.24504000  0.10124100  1
  Fe  Fe51  1  0.26086500  0.14740600  0.30357300  1
  Fe  Fe52  1  0.64341700  0.24323100  0.78567900  1
  Fe  Fe53  1  0.83379900  0.42603600  0.90493000  1
  Fe  Fe54  1  0.65868300  0.34763500  0.02026300  1
  Fe  Fe55  1  0.24486100  0.63019300  0.74979600  1
  Fe  Fe56  1  0.92932500  0.44952300  0.29331800  1
  Fe  Fe57  1  0.14879400  0.43628800  0.38634400  1
  Fe  Fe58  1  0.10057000  0.98860200  0.27044500  1
  Fe  Fe59  1  0.77286200  0.39388600  0.68142800  1
  Fe  Fe60  1  0.67665600  0.60417300  0.93863200  1
  Fe  Fe61  1  0.50808400  0.78465800  0.28020900  1
  Fe  Fe62  1  0.71212700  0.81914900  0.90055600  1
  Fe  Fe63  1  0.71232100  0.17201500  0.18951500  1
  Fe  Fe64  1  0.33347600  0.73546000  0.10644500  1
  Fe  Fe65  1  0.02223000  0.50625900  0.05357200  1
  Fe  Fe66  1  0.72035900  0.62120000  0.31207000  1
  Fe  Fe67  1  0.37592300  0.59034600  0.56514800  1
  Fe  Fe68  1  0.52691700  0.47891300  0.36483800  1
  Fe  Fe69  1  0.58667900  0.88181500  0.50307500  1
  Fe  Fe70  1  0.65754500  0.08089700  0.40402300  1
  Fe  Fe71  1  0.01708400  0.68202000  0.66110600  1
  Fe  Fe72  1  0.81111700  0.73999000  0.51596200  1
  Fe  Fe73  1  0.34759100  0.82282500  0.81525800  1
  Fe  Fe74  1  0.58162900  0.08917000  0.63288700  1
  Fe  Fe75  1  0.21343100  0.81814200  0.61967000  1
  Fe  Fe76  1  0.73213400  0.98437100  0.07659600  1
  Fe  Fe77  1  0.50743000  0.72922000  0.95926900  1
  Fe  Fe78  1  0.76220900  0.61418800  0.70725000  1
  Fe  Fe79  1  0.12402500  0.26848400  0.73530000  1
  Fe  Fe80  1  0.33028500  0.97178400  0.17271700  1
  Fe  Fe81  1  0.19971800  0.23548400  0.52004600  1
  Fe  Fe82  1  0.90285900  0.02845200  0.39253400  1
  Fe  Fe83  1  0.48033000  0.39461500  0.13076300  1
  Fe  Fe84  1  0.19972400  0.03224100  0.72347700  1
  Fe  Fe85  1  0.48959900  0.92063600  0.01150500  1
  Fe  Fe86  1  0.77944800  0.96455500  0.56616500  1
  Fe  Fe87  1  0.91646100  0.68759800  0.21464400  1
  Fe  Fe88  1  0.53123400  0.14772300  0.03882400  1
  Fe  Fe89  1  0.17856300  0.65072700  0.47606200  1
  Fe  Fe90  1  0.10159400  0.82516900  0.10686600  1
  Fe  Fe91  1  0.36410900  0.23263700  0.69436800  1
  Fe  Fe92  1  0.75971200  0.46776800  0.46950900  1
  Fe  Fe93  1  0.25375300  0.18020500  0.90111300  1
  Fe  Fe94  1  0.43180600  0.05937800  0.83278400  1
  Fe  Fe95  1  0.17231100  0.46056800  0.61705900  1
  Fe  Fe96  1  0.12077300  0.33060600  0.17599400  1
  Fe  Fe97  1  0.78800200  0.53513100  0.10774200  1
  Fe  Fe98  1  0.50636800  0.65732400  0.74002400  1
  Fe  Fe99  1  0.00416400  0.90998100  0.60283400  1
",-8.1905657127
9,1,"# generated using pymatgen
data_Fe
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.58486539
_cell_length_b   2.58486587
_cell_length_c   2.58486423
_cell_angle_alpha   59.99998985
_cell_angle_beta   59.99998380
_cell_angle_gamma   60.00000441
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Fe
_chemical_formula_sum   Fe1
_cell_volume   12.21233225
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Fe  Fe0  1  -0.00000000  0.00000000  -0.00000000  1
",-8.32165671
